"ID","AREA","NAME","TYPE","SUMMARY","ADDRESS","PAYEX","SERVICETIME","TW97X","TW97Y","TOTALCAR","TOTALMOTOR","lat","lng","formattedAddress"
"10146","板橋區","江翠國中游泳池共構地下停車場","1","立體式多目標附建停車場","新北市板橋區松江街63號B2~B4","小型車計時每小時20元;小型車計時每小時30元;小型車月租每月4000元;","0~24時","297282.8","2768934","220","0",25.027759046978286,121.46852679846573,"220台灣新北市板橋區松江街59號"
"10034","板橋區","新店溪華江堤外區停車場","2","平面式臨時路外停車場","板橋區華翠水門進入左轉至華江橋間及華翠水門進入右轉至光復水門間","小型車計時每小時20元;大型車計時每小時40元;小型車月租每月4000元;大型車月租每月8000元;機車免費免費;","0~24時","298625","2769710.5","523","334",25.034726791721713,121.48185371631232,"220台灣新北市板橋區環河西路四段55號"
"10183","板橋區","板橋凱撒大飯店停車場","2","平面式建築附設停車空間","新北市板橋區縣民大道2段8號B1~B5","小型車計時每小時100元;小型車月租每月5000元;機車計時每小時60元;","汽車24小時，機車當日4時至隔日凌晨1時","296667.5009","2767103.249","688","719",25.011250003030973,121.46236802275521,"220台灣新北市板橋區內山公路41號"
"10186","板橋區","板橋雙十廣場停車場","2","平面式臨時路外停車場","新北市板橋區文化路2段182巷7弄",";","0~24時","297688.7176","2768965.312","109","0",25.028029000509555,121.47255002465535,"220台灣新北市板橋區文化路二段182巷5弄22號"
"10002","板橋區","廣福公園平面停車場","2","平面式臨時路外停車場","板橋區五權公園大門左右兩側",";","0~24時","296809","2764971.5","97","0",24.992000029377923,121.46369767584405,"220台灣新北市板橋區廣權路69號"
"10003","板橋區","國光公園平面停車場","2","平面式多目標附建停車場","板橋區中正路375巷48號左右兩旁",";","0~24時","295752","2768162.5","48","0",25.020840929232815,121.45333284501606,"220台灣新北市板橋區中正路379巷3弄42號"
"20009","板橋區","板橋玫瑰中正","1","平面式臨時路外停車場","板橋區中正路板橋國中對面",";","0~24時","299338","2771898","32","0",25.054452461585782,121.48899736909374,"241台灣新北市三重區集美街72-92號"
"10102","板橋區","板橋玫瑰綠堤","2","平面式臨時路外停車場","板橋區綠堤街與龍泉街54巷7弄(板橋區綠堤街與龍泉街82巷口)",";","0~24時","295867","2768632","14","0",25.025076129077476,121.45448790077862,"220台灣新北市板橋區中正路402號"
"10038","板橋區","板橋環河(南雅西路環河平面停車場)","1",,"館前西路160巷板城路口",";","0~24時","295556","2767303.5","22","0",25.01309171688655,121.4513624753833,"220台灣新北市板橋區板城路"
"10022","板橋區","板橋華翠橋下(機車區)","1",,"市民大道1段太和街口至3段",";","0~24時","297941","2768215","0","0",25.021247184625476,121.47502376259436,"220台灣新北市板橋區華翠大橋(萬華)"
"10022","板橋區","台65高架橋下停車場","1",,"湳仔溝沿岸",";","0~24時","295099","2767925","0","0",25.01871634750344,121.44685500021824,"220台灣新北市板橋區僑中一街124巷92號"
